Project,Project ID,Ship ID,Payout amount,elo,global elo max,global elo min,elo percentile,project vote count
Language Flashcards,2960,341,79.0,1138,1394,809,0.5623931623931624,70
Wordle - The hackclub version,2975,769,84.0,1044,1430,754,0.4289940828402367,131
My minimalist portfolio,3009,389,26.0,1000,1402,809,0.3220910623946037,73
EnviroGo,3051,363,13.0,1166,1430,775,0.5969465648854961,106
Dice Roller,3058,1053,23.0,1036,1394,813,0.3838209982788296,63
To-Do List,3064,1055,38.0,1091,1430,798,0.46360759493670883,90
weather app,3071,588,32.0,1028,1430,750,0.4088235294117647,154
Summer making first project!,3074,372,3.0,965,1430,758,0.3080357142857143,110
Typemaster,3081,329,106.0,1147,1430,758,0.5788690476190477,110
Black-Scholes Option Pricer,3113,338,30.0,1145,1430,752,0.5796460176991151,134
Black-Scholes Option Pricer,3113,581,109.0,1145,1430,752,0.5796460176991151,134
platformer,3131,961,79.0,1118,1340,890,0.5066666666666667,35
CurrencyConverter,3140,994,58.0,1144,1430,789,0.5538221528861155,93
Minimal Clock,3141,995,130.0,1175,1307,939,0.6413043478260869,18
Portfolio Website,3156,1025,343.0,1162,1420,809,0.5777414075286416,77
Japanese Flag Clock,3169,357,43.0,1146,1430,750,0.5823529411764706,158
CountYourMiles,3175,353,52.0,1028,1420,809,0.35842880523731585,76
Typing Speed Test,3178,481,136.0,1143,1430,750,0.5779411764705882,164
Dream Dwellings,3180,355,4.0,969,1430,750,0.3220588235294118,177
soundInspector,3183,390,84.0,1059,1394,813,0.423407917383821,62
Why go retro?,3190,418,33.0,1191,1420,798,0.6318327974276527,88
FocusFi,3202,546,29.0,1234,1430,750,0.711764705882353,159
Hack Circuit,3203,595,284.0,1264,1340,913,0.8220140515222483,24
Personal Website,3220,664,75.0,1061,1394,813,0.4268502581755594,61
SpaceView,3230,553,58.0,1197,1399,809,0.6576271186440678,72
Markdown-it image captions,3238,437,169.0,1157,1430,750,0.5985294117647059,155
Markdown-it image captions,3238,440,3.0,1157,1430,750,0.5985294117647059,155
Portfolio,3268,663,176.0,1211,1420,800,0.6629032258064517,86
Aly's Personal Website,3275,740,90.0,1080,1430,787,0.4556765163297045,99
⋆Skytyper!⋆,3287,667,269.0,1142,1340,899,0.5510204081632653,31
Portfolio,3320,793,38.0,1012,1420,798,0.3440514469453376,88
Landing page template,3342,450,20.0,1005,1346,860,0.29835390946502055,40
